ticker,quantity,asset_class,custodian,notes
SPY,2500,public_equity,Schwab,Core US equity sleeve
QQQ,800,public_equity,Schwab,Tech overweight
IEMG,4000,public_equity,Schwab,EM equity exposure
EWJ,1200,public_equity,Pershing,Japan position
TLT,1500,fixed_income,Schwab,Long duration treasury
LQD,2000,fixed_income,Schwab,IG corporate credit
EMB,1800,fixed_income,Pershing,EM sovereign debt
GLD,600,commodity,Schwab,Gold hedge
VNQ,900,real_estate,Schwab,Listed US REIT
BRK-B,300,public_equity,Pershing,Concentrated single name
TSM,500,public_equity,Pershing,Taiwan semis exposure
BABA,800,public_equity,Pershing,China single name
